"","DATE","PLACE","HOME_COUNTRY","LOCATION","CORPORATE_ENTITY","SOURCE_URL","TYPE_OF_RESTRUCTURING","FAILED_(Y/N)","AMOUNT"
"107","2012-11-02","Toender, DK","DK","54.93644, 8.86897","","http://www.businessweek.com/news/2012-11-06/deceit-behind-danish-bank-failure-impossible-to-catch-fsa-says","Merger directed by Financial Regulator","",""
"109","2012-11-01","York, UK","UK","53.953339, -1.083427","","http://www.guardian.co.uk/money/2012/nov/02/north-yorkshire-credit-union-collapse","","",""
"110","2012-09-21","UK","UK","55.00839, -5.822485","","http://www.fscs.org.uk/news/2012/september/youre-protected-fscs-t-yf1ufy113/index.html","","",""
"56","2012-09-20","Monaster del Sile (TV),Italy","Italy","45.945375, 12.801915","","http://www.bccmonsile.it/?area=1&menu=31392","Extraordinary Administration","No",""
"58","2012-09-12","Italy","Italy","41.29254, 12.573465","","http://www.gazzettaufficiale.biz/atti/2012/20120237/12A10718.htm","Extraordinary Administration","No",""
"29","2012-08-30","Greece","Greece","38.283306, 24.537435","","http://greece.greekreporter.com/2012/08/30/facing-collapse-greeces-postbank-to-be-privatized/","Declared insolvent","",""
"111","2012-08-09","Liverpool, UK","UK","53.409773, -2.978481","","http://www.fscs.org.uk/news/2012/august/youre-protected-fscs-t-kdgvg311h/index.html","","",""
"70","2012-08-05","Latvia","Latvia","56.880104, 24.605246","","http://balticbusinessnews.com/article/2012/5/9/krajbanka-declared-bankrupt","","",""
"79","2012-07-16","Alicante, Spain","Spain","38.344085, -0.480474","","http://uk.finance.yahoo.com/news/partial-spanish-bank-liquidation-passes-083514695.html","","",""
"75","2012-06-29","Portugal","Portugal","36.091091, -18.727655","","http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx","Eurozone bailout injection","","€3 Billion"
"76","2012-06-29","Portugal","Portugal","36.091091, -18.727655","","http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx","Eurozone bailout injection","","€1.5 Billion"
"77","2012-06-29","Portugal","Portugal","36.091091, -18.727655","","http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx","Eurozone bailout injection","","€900 Million + €750 Million in stock"
"115","2012-06-23","UK","UK","55.00839, -5.822485","","http://www.fscs.org.uk/news/2011/june/members-of-worcestershire-credi-g7w8aqr4/index.html","","",""
"33","2012-06-18","Greece, US, UK, Bulgaria, Romania, Albania, Serbia, Egypt, Russia","Greece","43.231369, -77.714081","Piraeus Bank Group ","http://m.theglobeandmail.com/report-on-business/international-business/greeces-4-big-banks-given-22-billion/article4217901/?service=mobile","","","€5-billion"
"105","2012-06-12","Italy","Italy","41.29254, 12.573465","","http://www.gazzettaufficiale.biz/atti/2012/20120008/12A00056.htm","Extraordinary Administration","Yes",""
"106","2012-05-28","Athens, Greece","Greece","37.97605, 23.73718","","http://www.ft.com/cms/s/0/862b44a6-a8eb-11e1-b085-00144feabdc0.html#axzz2DEdKI8qV","","","€1.9-billion"
"108","2012-05-09","Madrid, Spain","Spain","40.4203, -3.705774","Bankia","http://www.bloomberg.com/news/2012-05-09/spain-takes-over-bankia-readies-second-bailout-after-rato-quits.html","Partly nationalised (45 % ownership)","",""
"112","2012-05-01","Middlesbrough, UK","UK","54.573055, -1.237634","","http://www.fscs.org.uk/news/2012/may/pallister-credit-union-ltd-update/","","",""
"49","2012-04-26","Ireland","Ireland","53.430361, -8.326615","","http://www.ft.com/intl/cms/s/0/73184874-8fbd-11e1-98b1-00144feab49a.html#axzz2GqUo6Gzk","Nationalisation","",""
"113","2012-01-16","UK","UK","55.00839, -5.822485","","http://www.fscs.org.uk/news/2012/january/speedy-fscs-payout-to-members-o-uwunw3wh/index.html","","",""
"122","2012-01-05","UK","UK","55.00839, -5.822485","","http://www.fscs.org.uk/news/2012/january/speedy-fscs-payout-to-members-o-nfxsquvv/index.html","","",""
